measurement_type,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,cumulative_accepted_requests
measured_local_hardhat,0.05,186154,1,1,0,,3.594800000078976,5000000,186154,0,4813846,0,1
measured_local_hardhat,0.05,186154,2,1,0,,3.003100000321865,5000000,372308,0,4627692,0,2
measured_local_hardhat,0.05,186154,3,1,0,,4.231600000523031,5000000,558462,0,4441538,0,3
measured_local_hardhat,0.05,186154,4,1,0,,3.6546000000089407,5000000,744616,0,4255384,0,4
measured_local_hardhat,0.05,186154,5,1,0,,3.6200000001117587,5000000,930770,0,4069230,0,5
measured_local_hardhat,0.05,186154,6,1,0,,3.025499999523163,5000000,1116924,0,3883076,0,6
measured_local_hardhat,0.05,186154,7,1,0,,3.630099999718368,5000000,1303078,0,3696922,0,7
measured_local_hardhat,0.05,186154,8,1,0,,3.4741000002250075,5000000,1489232,0,3510768,0,8
measured_local_hardhat,0.05,186154,9,1,0,,3.538099999539554,5000000,1675386,0,3324614,0,9
measured_local_hardhat,0.05,186154,10,1,0,,3.8383999997749925,5000000,1861540,0,3138460,0,10
measured_local_hardhat,0.05,186154,11,1,0,,3.474299999885261,5000000,2047694,0,2952306,0,11
measured_local_hardhat,0.05,186154,12,1,0,,3.5711000002920628,5000000,2233848,0,2766152,0,12
measured_local_hardhat,0.05,186154,13,1,0,,3.118999999947846,5000000,2420002,0,2579998,0,13
measured_local_hardhat,0.05,186154,14,1,0,,3.184299999848008,5000000,2606156,0,2393844,0,14
measured_local_hardhat,0.05,186154,15,1,0,,3.0334999999031425,5000000,2792310,0,2207690,0,15
measured_local_hardhat,0.05,186154,16,1,0,,3.1255000000819564,5000000,2978464,0,2021536,0,16
measured_local_hardhat,0.05,186154,17,1,0,,4.088299999944866,5000000,3164618,0,1835382,0,17
measured_local_hardhat,0.05,186154,18,1,0,,3.394399999640882,5000000,3350772,0,1649228,0,18
measured_local_hardhat,0.05,186154,19,1,0,,3.23340000025928,5000000,3536926,0,1463074,0,19
measured_local_hardhat,0.05,186154,20,1,0,,3.189400000497699,5000000,3723080,0,1276920,0,20
measured_local_hardhat,0.05,186154,21,1,0,,3.5480000004172325,5000000,3909234,0,1090766,0,21
measured_local_hardhat,0.05,186154,22,1,0,,3.342699999921024,5000000,4095388,0,904612,0,22
measured_local_hardhat,0.05,186154,23,1,0,,3.3859000001102686,5000000,4281542,0,718458,0,23
measured_local_hardhat,0.05,186154,24,1,0,,3.072500000707805,5000000,4467696,0,532304,0,24
measured_local_hardhat,0.05,186154,25,1,0,,3.081400000490248,5000000,4653850,0,346150,0,25
measured_local_hardhat,0.05,186154,26,1,0,,3.3408000003546476,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,27,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",2.3542999997735023,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,28,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",1.8316000001505017,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,29,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",1.761400000192225,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,30,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",2.644700000062585,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,31,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",1.8291999995708466,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.05,186154,32,0,1,"VM Exception while processing transaction: reverted with custom error 'InsufficientBudget(""0xc033845ea6634726412ec9c73d4c96da1b01df78eb669f8b0a43864042be93d7"", 186154, 159996)'",1.4651000006124377,5000000,4840004,0,159996,0,26
measured_local_hardhat,0.1,196379,1,1,0,,3.2739999992772937,5000000,196379,0,4803621,0,1
measured_local_hardhat,0.1,196379,2,1,0,,2.7375999996438622,5000000,392758,0,4607242,0,2
measured_local_hardhat,0.1,196379,3,1,0,,3.079699999652803,5000000,589137,0,4410863,0,3
measured_local_hardhat,0.1,196379,4,1,0,,3.318500000052154,5000000,785516,0,4214484,0,4
measured_local_hardhat,0.1,196379,5,1,0,,3.57869999948889,5000000,981895,0,4018105,0,5
measured_local_hardhat,0.1,196379,6,1,0,,3.610100000165403,5000000,1178274,0,3821726,0,6
measured_local_hardhat,0.1,196379,7,1,0,,3.1257000006735325,5000000,1374653,0,3625347,0,7
measured_local_hardhat,0.1,196379,8,1,0,,4.355700000189245,5000000,1571032,0,3428968,0,8
measured_local_hardhat,0.1,196379,9,1,0,,3.7415000004693866,5000000,1767411,0,3232589,0,9
measured_local_hardhat,0.1,196379,10,1,0,,3.248100000433624,5000000,1963790,0,3036210,0,10
measured_local_hardhat,0.1,196379,11,1,0,,4.044100000523031,5000000,2160169,0,2839831,0,11
measured_local_hardhat,0.1,196379,12,1,0,,2.9989999998360872,5000000,2356548,0,2643452,0,12
measured_local_hardhat,0.1,196379,13,1,0,,3.1972000002861023,5000000,2552927,0,2447073,0,13
measured_local_hardhat,0.1,196379,14,1,0,,3.8237000005319715,5000000,2749306,0,2250694,0,14
measured_local_hardhat,0.1,196379,15,1,0,,3.804599999450147,5000000,2945685,0,2054315,0,15
