measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,rows,function_id,epsilon_requested,delta_requested,total_latency_ms,throughput_req_s,total_gas,proof_overhead_ms,attestation_overhead_ms,budget_overhead_ms,other_lifecycle_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,security_coverage_score,security_coverage_total,success,failure_status
locally_measured,2026-07-19T11:13:13.518Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,0,0,1000,2,0.5,0.00001,780.4402000010014,1.2813281530073886,0,0,85.575,0,694.8652000010013,60.31999999999999,609.5,3.432823201999973,1230032896,3837952000,3,8,1,
locally_measured,2026-07-19T11:13:14.024Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,0,0,1000,2,0.5,0.00001,11.513700000941753,86.85305331198536,433332,0,0,0,11.513700000941753,0,16,0.43921813900889867,1230258176,3834535936,1,8,1,
locally_measured,2026-07-19T11:13:15.254Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,0,0,1000,2,0.5,0.00001,740.0244999993593,1.3513066121471193,670149,312.5806000009179,0,0,427.44389999844134,0,1906,100,1289482240,3837636608,2,8,1,
locally_measured,2026-07-19T11:13:15.907Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,0,0,1000,2,0.5,0.00001,187.48070000112057,5.33388236759316,0,0,0,0.002,187.47870000112056,13.498000000000001,30.625,0.227734821930264,1289482240,1740414976,2,8,1,
locally_measured,2026-07-19T11:13:17.646Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,0,0,1000,2,0.5,0.00001,1182.9919999986887,0.8453142540280141,1370290,359.3310000002384,88.883,4.0730000007897615,730.7049999976605,61.519000000000005,2546.875,100,1367285760,1746653184,8,8,1,
locally_measured,2026-07-19T11:13:18.869Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,1,0,1000,2,0.5,0.00001,749.1573000010103,1.3348331518609662,0,0,79.57,0,669.5873000010104,53.407,889.875,19.49659784890999,1367285760,1316405248,3,8,1,
locally_measured,2026-07-19T11:13:19.366Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,1,0,1000,2,0.5,0.00001,11.912599999457598,83.94473079307052,433320,0,0,0,11.912599999457598,0,16,0.4533073074498679,1367285760,1311420416,1,8,1,
locally_measured,2026-07-19T11:13:20.589Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,1,0,1000,2,0.5,0.00001,737.8126999996603,1.355357531796973,670125,312.11259999871254,0,0,425.7001000009477,0,1969,100,1367285760,1337483264,2,8,1,
locally_measured,2026-07-19T11:13:21.249Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,1,0,1000,2,0.5,0.00001,175.17389999888837,5.708612984048114,0,0,0,0.002,175.17189999888836,12.502999999999997,15.625,0,1367285760,1335775232,2,8,1,
locally_measured,2026-07-19T11:13:22.887Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,1,0,1000,2,0.5,0.00001,1110.497599998489,0.9004972185454166,1370170,257.41599999926984,91.142,3.9937000013887882,757.9458999978303,61.822,2124.875,100,1367285760,3633762304,8,8,1,
locally_measured,2026-07-19T11:13:24.112Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,2,0,1000,2,0.5,0.00001,775.7304000016302,1.2891076590499722,0,0,77.544,0,698.1864000016302,62.653999999999996,625.5,3.556926851593574,1367285760,3717963776,3,8,1,
locally_measured,2026-07-19T11:13:24.632Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,2,0,1000,2,0.5,0.00001,12.123799998313189,82.48239002120889,433332,0,0,0,12.123799998313189,0,32,0.8300849342875914,1367285760,3706859520,1,8,1,
