variant,stage,runs,mean_latency_ms,p95_latency_ms,measurement_type
baseline_minimal,access,30,0.0,0.0,measured
baseline_minimal,budget,30,0.0,0.0,measured
baseline_minimal,tee,30,0.0,0.0,measured
baseline_minimal,proof,30,0.0,0.0,measured
baseline_minimal,settlement,30,0.0,0.0,measured
baseline_minimal,audit,30,0.0,0.0,measured
access_only,access,30,5.225989999932548,6.308089999295771,measured
access_only,budget,30,0.0,0.0,measured
access_only,tee,30,0.0,0.0,measured
access_only,proof,30,0.0,0.0,measured
access_only,settlement,30,0.0,0.0,measured
access_only,audit,30,1.1169833332921069,1.5211399995721877,measured
no_budget,access,30,6.631446666891376,8.05340500017628,measured
no_budget,budget,30,0.0,0.0,measured
no_budget,tee,30,134.41103333333334,155.55640000000002,measured
no_budget,proof,30,243.46532666701825,261.74304500138385,measured
no_budget,settlement,30,0.0,0.0,measured
no_budget,audit,30,1.2705500000466903,1.6432750006206334,measured
no_zk,access,30,5.56448333337903,6.685974999051541,measured
no_zk,budget,30,3.9655233334749935,4.768129999097437,measured
no_zk,tee,30,137.25746666666666,170.97820000000002,measured
no_zk,proof,30,0.0,0.0,measured
no_zk,settlement,30,0.0,0.0,measured
no_zk,audit,30,1.2002800001452367,1.6295550003647805,measured
no_tee,access,30,4.934813333675265,6.3159700007177895,model_calibrated_from_measured_components
no_tee,budget,30,3.144836666993797,4.015484999679029,model_calibrated_from_measured_components
no_tee,tee,30,0.0043,0.005,model_calibrated_from_measured_components
no_tee,proof,30,238.27597333348047,269.28315999936314,model_calibrated_from_measured_components
no_tee,settlement,30,5.863993333404263,6.859829999692738,model_calibrated_from_measured_components
no_tee,audit,30,0.0,0.0,model_calibrated_from_measured_components
full_trustcircuit,access,30,4.896719999797642,5.9902100006118415,measured
full_trustcircuit,budget,30,2.8345733332137266,3.6426400004886093,measured
full_trustcircuit,tee,30,138.03286666666668,164.09295,measured
full_trustcircuit,proof,30,226.9109133331726,263.7689600000158,measured
full_trustcircuit,settlement,30,5.970530000018576,7.104170000180602,measured
full_trustcircuit,audit,30,0.0,0.0,measured
