measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,execution_order,seed,request_id,rows,payload_bytes,payload_sha256,native_process_wall_us,vbs_process_wall_us,native_process_startup_us,vbs_process_startup_us,vbs_validation_wall_us,native_process_cpu_time_ms,vbs_process_cpu_time_ms,native_normalized_peak_cpu_percent,vbs_normalized_peak_cpu_percent,native_host_total_us,vbs_host_total_us,native_decrypt_us,vbs_decrypt_us,native_hash_us,vbs_hash_us,native_aggregate_us,vbs_aggregate_us,native_dp_noise_us,vbs_dp_noise_us,native_transcript_us,vbs_transcript_us,vbs_attestation_generation_us,vbs_attestation_validation_host_us,vbs_attestation_validation_enclave_us,native_peak_rss_bytes,vbs_peak_rss_bytes,native_peak_private_bytes,vbs_peak_private_bytes,native_resource_sample_count,vbs_resource_sample_count,native_result_fixed,vbs_result_fixed,result_hash_match,result_parity,native_payload_throughput_mib_s,vbs_payload_throughput_mib_s,vbs_slowdown_vs_native,native_ok,vbs_ok,failure_status
measured_paired,2026-07-19T10:40:40.541165+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,1,0,vbs_first,20260720,phase8-paired-126-1-1784457640399736700,126,1024,0d6ab7d4e8163a5f62ca871ae55033e20923a9a93123f21a128bc2e71d144450,16000,62000,9861,44005,64670,15.625,31.25,0.0,0.0,6139,17995,12,4,38,6,8,6,0,0,12,11,2025,19504,999,4960256,9400320,1724416,4120576,7,33,50920634,50920634,1,1,0.06103515625,0.01575100806451613,3.875,1,1,
measured_paired,2026-07-19T10:40:40.692334+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,2,0,native_first,20260721,phase8-paired-126-2-1784457640542175100,126,1024,5a0c4884fbd8418e4362725b219fa43667bb4fdd27879b57bb3dd14a978e72e2,31000,63000,8974,55151,62408,15.625,46.875,0.0,0.0,22026,7849,16,3,75,6,8,6,0,0,18,10,1900,19713,958,5128192,9404416,1781760,4120576,17,29,49912698,49912698,1,1,0.03150201612903226,0.015500992063492064,2.032258064516129,1,1,
measured_paired,2026-07-19T10:40:40.839975+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,3,0,vbs_first,20260722,phase8-paired-126-3-1784457640694809900,126,1024,820f63adfef48263f797fc0093385fd8da5c4cf62a5300ae5cae4cde217b6961,16000,63000,9915,47701,58008,15.625,62.5,0.0,0.0,6085,15299,14,3,68,6,8,6,0,0,14,10,1863,19044,1179,5152768,9392128,1794048,4112384,7,40,50341269,50341269,1,1,0.06103515625,0.015500992063492064,3.9375,1,1,
measured_paired,2026-07-19T10:40:40.991472+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,4,0,native_first,20260723,phase8-paired-126-4-1784457640842488400,126,1024,483a2c66abacaf1e52c4e57f2f8575f3b4786f6d6274d5fedbdfce3f9b5f5f69,31000,47000,9395,39054,70864,15.625,31.25,0.0,0.0,21605,7946,17,6,83,9,8,6,0,0,19,12,1962,18050,885,5185536,9396224,1728512,4108288,17,24,49912698,49912698,1,1,0.03150201612903226,0.020777925531914893,1.5161290322580645,1,1,
measured_paired,2026-07-19T10:40:41.164432+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,5,0,vbs_first,20260724,phase8-paired-126-5-1784457640992476100,126,1024,0f5cc4593bb3be1ec9ae86c14ec0a515084c97da45c988e73146d6d8cab3d910,16000,78000,10107,63108,72946,0.0,46.875,0.0,0.0,5893,14892,11,6,38,10,8,8,0,0,11,13,2043,19226,977,5296128,9404416,1810432,4124672,7,47,50373015,50373015,1,1,0.06103515625,0.012520032051282052,4.875,1,1,
measured_paired,2026-07-19T10:40:41.308728+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,6,0,native_first,20260725,phase8-paired-126-6-1784457641166432700,126,1024,136d79ff33402fca572e6ac6866dd44099f77703b5acba611965aa12cba592c2,31000,47000,9176,39130,69236,0.0,31.25,0.0,0.0,21824,7870,17,4,71,6,9,6,0,0,19,11,1979,20072,993,4988928,9396224,1728512,4108288,18,21,49642857,49642857,1,1,0.03150201612903226,0.020777925531914893,1.5161290322580645,1,1,
measured_paired,2026-07-19T10:40:41.490357+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,7,0,vbs_first,20260726,phase8-paired-126-7-1784457641309727400,126,1024,cb1c5eaffe4e05a6b7ae144ecba09ef7829224a2915fab4681771f7bc0f94e08,15000,94000,8973,78083,76279,15.625,62.5,0.0,0.0,6027,15917,14,4,51,6,9,6,0,0,14,10,1919,18150,955,5320704,9400320,1806336,4116480,7,49,46960317,46960317,1,1,0.06510416666666667,0.010388962765957447,6.266666666666667,1,1,
measured_paired,2026-07-19T10:40:41.628688+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,8,0,native_first,20260727,phase8-paired-126-8-1784457641491359300,126,1024,3beb5168834c9931ee689991ad6b38d8906529131fefb199e061824d94ee16a4,32000,46000,11373,38187,62159,0.0,31.25,0.0,0.0,20627,7813,16,6,73,9,9,6,0,0,18,11,1918,19790,948,4993024,9408512,1720320,4124672,17,22,47793650,47793650,1,1,0.030517578125,0.021229619565217392,1.4375,1,1,
measured_paired,2026-07-19T10:40:41.775944+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,9,0,vbs_first,20260728,phase8-paired-126-9-1784457641630193800,126,1024,f57703a081fb36190cde916ad7891b4ba030ad129b0fbc498a5ab975c64a83a6,31000,47000,24870,30530,70118,15.625,78.125,0.0,0.0,6130,16470,18,4,75,6,8,6,0,0,15,10,1912,19455,940,5173248,9396224,1716224,4104192,8,34,49365079,49365079,1,1,0.03150201612903226,0.020777925531914893,1.5161290322580645,1,1,
measured_paired,2026-07-19T10:40:41.925585+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,10,0,native_first,20260729,phase8-paired-126-10-1784457641777966700,126,1024,4cedbc1dcefdf4dc3abc312f2dbf27b3da6230bf6462740abb43fdd7d967930b,31000,62000,7318,54336,60638,31.25,46.875,0.0,0.0,23682,7664,11,4,48,6,8,6,0,0,12,10,1907,20808,1007,5148672,9412608,1728512,4132864,19,29,54523809,54523809,1,1,0.03150201612903226,0.01575100806451613,2.0,1,1,
measured_paired,2026-07-19T10:40:42.084161+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,11,0,vbs_first,20260730,phase8-paired-126-11-1784457641927581400,126,1024,d0871cbc498e203ef2ca48e1808dfbcaf43dbeb8063bc8172ac92b5294aa1e1f,16000,62000,9994,47871,70102,0.0,62.5,0.0,0.0,6006,14129,12,4,42,6,8,6,0,0,12,10,1923,18502,952,5201920,9388032,1785856,4104192,7,40,53126984,53126984,1,1,0.06103515625,0.01575100806451613,3.875,1,1,
measured_paired,2026-07-19T10:40:42.245779+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,12,0,native_first,20260731,phase8-paired-126-12-1784457642086158900,126,1024,2aa09cf87c33b8c2fd13e451033a3a595a4963957cb5331fa9da183c6a6a63b7,31000,63000,8761,54938,71428,15.625,46.875,0.0,0.0,22239,8062,15,4,64,6,9,6,0,0,20,10,1894,17908,875,4997120,9388032,1724416,4108288,18,29,46746031,46746031,1,1,0.03150201612903226,0.015500992063492064,2.032258064516129,1,1,
measured_paired,2026-07-19T10:40:42.408228+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,13,0,vbs_first,20260732,phase8-paired-126-13-1784457642248287400,126,1024,3b99414c3249492e01bdba75e02a37c3196361d51b838909fe8d006882fec589,32000,78000,25647,63491,62641,15.625,31.25,0.0,0.0,6353,14509,17,5,89,7,10,6,0,0,18,10,2008,18860,970,4988928,9400320,1724416,4112384,7,44,50000000,50000000,1,1,0.030517578125,0.012520032051282052,2.4375,1,1,
measured_paired,2026-07-19T10:40:42.559467+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,14,0,native_first,20260733,phase8-paired-126-14-1784457642410231100,126,1024,6769c63cf3df14f5f4f455d213b46813d2773d572d8abe4f65dabfff18cb7960,31000,47000,7509,39248,59547,0.0,62.5,0.0,0.0,23491,7752,17,4,77,6,9,6,0,0,17,11,1906,20131,936,5177344,9408512,1720320,4120576,18,31,47642857,47642857,1,1,0.03150201612903226,0.020777925531914893,1.5161290322580645,1,1,
measured_paired,2026-07-19T10:40:42.706547+00:00,4924a5d60e36451ff68f2e2aecb3766d0fc3cd871f2e95c9b8c1ae4bd12dbc3f,Debug,15,0,vbs_first,20260734,phase8-paired-126-15-1784457642561476500,126,1024,9bfc87756e0a409beb159fea24b9d3c414ffcfea79aef0cd054e226757537c73,16000,62000,9707,47323,70931,0.0,31.25,0.0,0.0,6293,14677,14,8,62,11,7,9,0,0,13,13,1951,19086,979,5005312,9404416,1732608,4124672,8,33,53682539,53682539,1,1,0.06103515625,0.01575100806451613,3.875,1,1,
