measurement_type,category,attack_case,run,accepted,rejected,rejection_stage,reason,latency_ms,budget_invariant_violation
measured,context,wrong_request,0,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",14.132299999706447,0
measured,context,wrong_request,1,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.9084000000730157,0
measured,context,wrong_request,2,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",3.9989999998360872,0
measured,context,wrong_request,3,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.2629999993368983,0
measured,context,wrong_request,4,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.310899999924004,0
measured,context,wrong_request,5,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.0575999999418855,0
measured,context,wrong_request,6,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.959999999962747,0
measured,context,wrong_request,7,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.159900000318885,0
measured,context,wrong_request,8,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.810899999924004,0
measured,context,wrong_request,9,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.4864999996498227,0
measured,context,wrong_request,10,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.8799000000581145,0
measured,context,wrong_request,11,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.4361999994143844,0
measured,context,wrong_request,12,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.2771000005304813,0
measured,context,wrong_request,13,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.57149999961257,0
measured,context,wrong_request,14,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.482200000435114,0
measured,context,wrong_request,15,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.376299999654293,0
measured,context,wrong_request,16,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.2257000003010035,0
measured,context,wrong_request,17,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.1781000001356006,0
measured,context,wrong_request,18,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.9947000006213784,0
