operation,category,metric,unit,count,min,p25,median,mean,std,p75,p95,p99,max
atomic_settlement_valid,settlement,submit_ack_ms,ms,30,1026.303,1079.6910000000003,1192.7755,1224.1420333333333,173.16749345119962,1312.35,1518.6959999999995,1719.1717400000002,1768.093
atomic_settlement_valid,settlement,inclusion_latency_ms,ms,30,3314.32,3574.7135,3719.1695,3724.9947,222.88966940636644,3859.3655000000003,4133.3501,4204.261050000001,4211.962
atomic_settlement_valid,settlement,confirmation_5_latency_ms,ms,30,10957.181,11246.458,11429.5295,11443.428533333332,270.80447427716797,11641.43925,11848.103500000001,11937.83644,11969.755
atomic_settlement_valid,settlement,confirmation_12_latency_ms,ms,30,24936.089,25307.68975,25409.9455,25456.167699999998,288.1834533543723,25628.6065,25921.2624,26074.224130000002,26122.481
atomic_settlement_valid,settlement,post_inclusion_confirmation_5_ms,ms,30,7030.243,7572.1035,7794.6565,7718.4339666666665,284.0538471589963,7897.1097500000005,8134.0568,8214.02682,8237.413
atomic_settlement_valid,settlement,post_inclusion_confirmation_12_ms,ms,30,21249.948,21582.9225,21711.127,21731.1729,211.03119817946015,21857.067499999997,22123.3841,22209.98844,22224.478
atomic_settlement_valid,settlement,gas_used,gas,30,471127.0,471151.0,471163.0,471731.8,3122.290299962734,471175.0,471187.0,483310.95999999996,488263.0
atomic_settlement_valid,settlement,total_fee_wei,wei,30,2860581987025.0,2863656783075.25,2864141955408.5,2867523796933.433,18409282442.120567,2865296519036.75,2867118554097.25,2936644885042.83,2964672722588.0
atomic_settlement_valid,settlement,calldata_bytes,bytes,30,772.0,772.0,772.0,772.0,0.0,772.0,772.0,772.0,772.0
atomic_settlement_valid,settlement,calldata_zero_bytes,bytes,30,93.0,94.0,95.0,95.1,1.3982747990981972,96.0,97.55,98.0,98.0
atomic_settlement_valid,settlement,calldata_nonzero_bytes,bytes,30,674.0,676.0,677.0,676.9,1.3982747990981972,678.0,679.0,679.0,679.0
attack_approve_request,setup,submit_ack_ms,ms,10,845.107,1120.5104999999999,1166.2095,1185.2832,215.71226989765788,1228.47575,1525.4216999999999,1567.9643399999998,1578.6
attack_approve_request,setup,inclusion_latency_ms,ms,10,3583.736,3760.9305,3849.183,3938.6331,273.8474602403681,4122.0765,4358.318749999999,4430.3853500000005,4448.402
attack_approve_request,setup,confirmation_5_latency_ms,ms,10,11129.062,11383.910750000001,11528.702000000001,11535.9044,232.66401805808582,11696.651,11849.795549999999,11868.45111,11873.115
attack_approve_request,setup,confirmation_12_latency_ms,ms,10,25251.313,25580.555500000002,25647.197,25642.349299999998,213.02279050428686,25779.69075,25897.1178,25928.46516,25936.302
attack_approve_request,setup,post_inclusion_confirmation_5_ms,ms,10,7103.758,7427.6635,7641.047,7597.2714,282.9007626796208,7802.57175,7926.14395,7977.7783899999995,7990.687
attack_approve_request,setup,post_inclusion_confirmation_12_ms,ms,10,21400.824,21480.39075,21576.089,21703.716099999998,273.1866327299382,21987.12525,22068.8976,22081.29312,22084.392
attack_approve_request,setup,gas_used,gas,10,30883.0,30886.0,30895.0,30891.4,5.796550698475776,30895.0,30895.0,30895.0,30895.0
attack_approve_request,setup,total_fee_wei,wei,10,190974090724.0,191099346708.0,191360224866.0,191330582938.9,249687582.13937813,191525505833.5,191647392085.25,191649621477.05,191650178825.0
attack_approve_request,setup,calldata_bytes,bytes,10,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0
attack_approve_request,setup,calldata_zero_bytes,bytes,10,0.0,0.0,0.0,0.3,0.48304589153964794,0.75,1.0,1.0,1.0
attack_approve_request,setup,calldata_nonzero_bytes,bytes,10,35.0,35.25,36.0,35.7,0.48304589153964794,36.0,36.0,36.0,36.0
attack_control_valid_settlement,settlement,submit_ack_ms,ms,10,984.063,999.35475,1039.259,1124.9378000000002,168.87787190340308,1196.7715,1412.2111,1449.13342,1458.364
attack_control_valid_settlement,settlement,inclusion_latency_ms,ms,10,2826.605,3163.51575,3535.9605,3466.8444000000004,402.6726902723297,3835.5860000000002,3922.64185,3929.58517,3931.321
attack_control_valid_settlement,settlement,confirmation_5_latency_ms,ms,10,10501.26,10826.88725,11091.408,11096.8166,356.27476918842655,11341.75325,11567.8652,11582.00024,11585.534
attack_control_valid_settlement,settlement,confirmation_12_latency_ms,ms,10,24595.927,25060.3275,25242.834499999997,25207.3546,355.44132062274946,25474.533499999998,25593.9645,25606.1433,25609.188
attack_control_valid_settlement,settlement,post_inclusion_confirmation_5_ms,ms,10,7140.203,7452.8395,7680.4355,7629.972,273.03263976634315,7797.415999999999,7952.766599999999,8037.5005200000005,8058.684
attack_control_valid_settlement,settlement,post_inclusion_confirmation_12_ms,ms,10,21195.969,21505.320750000003,21741.489,21740.509700000002,338.4228275548699,21962.499999999996,22202.2873,22205.83186,22206.718
attack_control_valid_settlement,settlement,gas_used,gas,10,471091.0,471130.0,471151.0,471143.8,26.653329998332293,471160.0,471175.0,471175.0,471175.0
attack_control_valid_settlement,settlement,total_fee_wei,wei,10,2861483902860.0,2862714558629.25,2865488727603.0,2864662275112.5,2149278768.4205866,2866008503618.5,2866951369679.95,2867505501497.59,2867644034452.0
attack_control_valid_settlement,settlement,calldata_bytes,bytes,10,772.0,772.0,772.0,772.0,0.0,772.0,772.0,772.0,772.0
attack_control_valid_settlement,settlement,calldata_zero_bytes,bytes,10,94.0,95.25,96.0,96.6,2.2211108331943574,97.75,100.1,100.82,101.0
attack_control_valid_settlement,settlement,calldata_nonzero_bytes,bytes,10,671.0,674.25,676.0,675.4,2.2211108331943574,676.75,678.0,678.0,678.0
attack_register_expectation,setup,submit_ack_ms,ms,10,945.918,1146.853,1183.6795,1219.0048000000002,185.3600356829918,1322.4745,1490.1233499999998,1521.0822699999999,1528.822
attack_register_expectation,setup,inclusion_latency_ms,ms,10,3241.947,3534.92825,3753.2635,3755.6709,356.5814982831803,3965.62875,4243.915849999999,4262.22077,4266.797
attack_register_expectation,setup,confirmation_5_latency_ms,ms,10,11001.787,11322.89675,11610.511999999999,11526.8403,287.1554715302997,11732.2255,11856.253949999998,11871.36999,11875.149
attack_register_expectation,setup,confirmation_12_latency_ms,ms,10,25080.77,25392.231249999997,25589.597999999998,25580.8479,310.24391627680086,25783.829999999998,26011.8249,26124.302579999996,26152.422
attack_register_expectation,setup,post_inclusion_confirmation_5_ms,ms,10,7283.45,7578.11,7748.8189999999995,7771.1693,278.0760294380139,7937.9130000000005,8151.9213,8190.43626,8200.065
