payload_bytes,stage,mean_latency_us,measurement_type
1024,decrypt,4.4,measured_enclave_tsc
1024,aggregate,6.6,measured_enclave_tsc
1024,dp_noise,86.0,measured_enclave_tsc
1024,transcript,14.8,measured_enclave_tsc
1024,attestation_generation,2006.2,measured_enclave_tsc
4096,decrypt,29.6,measured_enclave_tsc
4096,aggregate,22.6,measured_enclave_tsc
4096,dp_noise,38.2,measured_enclave_tsc
4096,transcript,13.0,measured_enclave_tsc
4096,attestation_generation,1954.2,measured_enclave_tsc
16384,decrypt,119.6,measured_enclave_tsc
16384,aggregate,89.2,measured_enclave_tsc
16384,dp_noise,7.2,measured_enclave_tsc
16384,transcript,11.4,measured_enclave_tsc
16384,attestation_generation,1888.2,measured_enclave_tsc
65536,decrypt,284.0,measured_enclave_tsc
65536,aggregate,381.2,measured_enclave_tsc
65536,dp_noise,8.6,measured_enclave_tsc
65536,transcript,13.6,measured_enclave_tsc
65536,attestation_generation,1965.4,measured_enclave_tsc
262144,decrypt,2514.6,measured_enclave_tsc
262144,aggregate,1628.0,measured_enclave_tsc
262144,dp_noise,10.6,measured_enclave_tsc
262144,transcript,17.6,measured_enclave_tsc
262144,attestation_generation,2113.4,measured_enclave_tsc
800000,decrypt,7775.6,measured_enclave_tsc
800000,aggregate,4853.2,measured_enclave_tsc
800000,dp_noise,16.6,measured_enclave_tsc
800000,transcript,23.4,measured_enclave_tsc
800000,attestation_generation,2179.4,measured_enclave_tsc
