measurement_type,timestamp_utc,config_hash,epsilon_requested,privacy_cost_fixed,request_index,accepted,reverted,reason,latency_ms,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status
measured_local_hardhat,2026-07-19T10:52:19.413Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,1,1,0,,192.22910000011325,5000000,186154,0,4813846,0,0,0,1257787392,1488334848,1,
measured_local_hardhat,2026-07-19T10:52:19.811Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,2,1,0,,202.44050000049174,5000000,372308,0,4627692,0,0,0,1257787392,1488334848,1,
measured_local_hardhat,2026-07-19T10:52:20.204Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,3,1,0,,203.48450000025332,5000000,558462,0,4441538,0,0,0,1257787392,1484599296,1,
measured_local_hardhat,2026-07-19T10:52:20.596Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,4,1,0,,198.29870000109076,5000000,744616,0,4255384,0,0,0,1257787392,1484468224,1,
measured_local_hardhat,2026-07-19T10:52:20.982Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,5,1,0,,192.59080000035465,5000000,930770,0,4069230,0,0,0,1257787392,1484337152,1,
measured_local_hardhat,2026-07-19T10:52:21.378Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,6,1,0,,203.54209999926388,5000000,1116924,0,3883076,0,0,0,1257787392,1484206080,1,
measured_local_hardhat,2026-07-19T10:52:21.799Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,7,1,0,,217.4980999995023,5000000,1303078,0,3696922,0,0,0,1257787392,1481580544,1,
measured_local_hardhat,2026-07-19T10:52:22.192Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,8,1,0,,195.03380000032485,5000000,1489232,0,3510768,0,0,0,1257787392,1481711616,1,
measured_local_hardhat,2026-07-19T10:52:22.576Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,9,1,0,,196.28160000033677,5000000,1675386,0,3324614,0,0,0,1257787392,1481711616,1,
measured_local_hardhat,2026-07-19T10:52:22.958Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,10,1,0,,191.0651999991387,5000000,1861540,0,3138460,0,0,0,1257787392,1477050368,1,
measured_local_hardhat,2026-07-19T10:52:23.342Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,11,1,0,,196.31629999913275,5000000,2047694,0,2952306,0,0,0,1257787392,1473310720,1,
measured_local_hardhat,2026-07-19T10:52:23.728Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0.05,186154,12,1,0,,193.95459999889135,5000000,2233848,0,2766152,0,0,0,1257787392,1473708032,1,
