measurement_type,epsilon_requested,delta,releases,rdp_reference_epsilon,conservative_fixed_epsilon,rounding_gap_epsilon,per_release_cost_fixed
analytical_from_measured_cost,0.05,1e-05,1,0.18615314489879217,0.186154,8.551012078139575e-07,186154
analytical_from_measured_cost,0.05,1e-05,2,0.18956144114726325,0.372308,0.18274655885273672,186154
analytical_from_measured_cost,0.05,1e-05,3,0.19296973739573436,0.558462,0.36549226260426565,186154
analytical_from_measured_cost,0.05,1e-05,4,0.19637803364420545,0.744616,0.5482379663557945,186154
analytical_from_measured_cost,0.05,1e-05,5,0.19978632989267653,0.93077,0.7309836701073235,186154
analytical_from_measured_cost,0.05,1e-05,6,0.2031946261411476,1.116924,0.9137293738588524,186154
analytical_from_measured_cost,0.05,1e-05,7,0.2066029223896187,1.303078,1.0964750776103813,186154
analytical_from_measured_cost,0.05,1e-05,8,0.2100112186380898,1.489232,1.27922078136191,186154
analytical_from_measured_cost,0.05,1e-05,9,0.21341951488656088,1.675386,1.461966485113439,186154
analytical_from_measured_cost,0.05,1e-05,10,0.21682781113503197,1.86154,1.644712188864968,186154
analytical_from_measured_cost,0.05,1e-05,11,0.22023610738350305,2.047694,1.8274578926164968,186154
analytical_from_measured_cost,0.05,1e-05,12,0.22364440363197413,2.233848,2.010203596368026,186154
analytical_from_measured_cost,0.05,1e-05,13,0.2270526998804452,2.420002,2.192949300119555,186154
analytical_from_measured_cost,0.05,1e-05,14,0.2304609961289163,2.606156,2.375695003871084,186154
analytical_from_measured_cost,0.05,1e-05,15,0.2338692923773874,2.79231,2.5584407076226126,186154
analytical_from_measured_cost,0.05,1e-05,16,0.2372775886258585,2.978464,2.7411864113741413,186154
analytical_from_measured_cost,0.05,1e-05,17,0.24068588487432957,3.164618,2.9239321151256705,186154
analytical_from_measured_cost,0.05,1e-05,18,0.24409418112280065,3.350772,3.1066778188771993,186154
analytical_from_measured_cost,0.05,1e-05,19,0.24750247737127173,3.536926,3.289423522628728,186154
analytical_from_measured_cost,0.05,1e-05,20,0.25091077361974284,3.72308,3.4721692263802573,186154
analytical_from_measured_cost,0.05,1e-05,21,0.25431906986821395,3.909234,3.654914930131786,186154
analytical_from_measured_cost,0.05,1e-05,22,0.257727366116685,4.095388,3.837660633883315,186154
analytical_from_measured_cost,0.05,1e-05,23,0.26113566236515606,4.281542,4.020406337634844,186154
analytical_from_measured_cost,0.05,1e-05,24,0.2645439586136272,4.467696,4.203152041386373,186154
analytical_from_measured_cost,0.05,1e-05,25,0.2679522548620983,4.65385,4.3858977451379015,186154
analytical_from_measured_cost,0.05,1e-05,26,0.27136055111056934,4.840004,4.568643448889431,186154
analytical_from_measured_cost,0.05,1e-05,27,0.27476884735904045,5.026158,4.751389152640959,186154
analytical_from_measured_cost,0.05,1e-05,28,0.27817714360751156,5.212312,4.934134856392488,186154
analytical_from_measured_cost,0.05,1e-05,29,0.2815854398559826,5.398466,5.1168805601440175,186154
analytical_from_measured_cost,0.05,1e-05,30,0.2849937361044537,5.58462,5.299626263895546,186154
analytical_from_measured_cost,0.05,1e-05,31,0.2884020323529248,5.770774,5.482371967647076,186154
analytical_from_measured_cost,0.05,1e-05,32,0.2918103286013959,5.956928,5.665117671398604,186154
analytical_from_measured_cost,0.1,1e-05,1,0.19637803364420545,0.196379,9.66355794551621e-07,196379
analytical_from_measured_cost,0.1,1e-05,2,0.2100112186380898,0.392758,0.1827467813619102,196379
analytical_from_measured_cost,0.1,1e-05,3,0.22364440363197413,0.589137,0.3654925963680259,196379
analytical_from_measured_cost,0.1,1e-05,4,0.2372775886258585,0.785516,0.5482384113741415,196379
analytical_from_measured_cost,0.1,1e-05,5,0.25091077361974284,0.981895,0.7309842263802571,196379
analytical_from_measured_cost,0.1,1e-05,6,0.2645439586136272,1.178274,0.9137300413863729,196379
analytical_from_measured_cost,0.1,1e-05,7,0.27817714360751156,1.374653,1.0964758563924883,196379
analytical_from_measured_cost,0.1,1e-05,8,0.2918103286013959,1.571032,1.279221671398604,196379
analytical_from_measured_cost,0.1,1e-05,9,0.3054435135952802,1.767411,1.4619674864047199,196379
analytical_from_measured_cost,0.1,1e-05,10,0.31907669858916454,1.96379,1.6447133014108353,196379
analytical_from_measured_cost,0.1,1e-05,11,0.3327098835830489,2.160169,1.827459116416951,196379
analytical_from_measured_cost,0.1,1e-05,12,0.3463430685769333,2.356548,2.0102049314230666,196379
analytical_from_measured_cost,0.1,1e-05,13,0.35997625357081764,2.552927,2.192950746429182,196379
analytical_from_measured_cost,0.1,1e-05,14,0.3735746769061659,2.749306,2.375731323093834,196379
analytical_from_measured_cost,0.1,1e-05,15,0.3867940327922774,2.945685,2.5588909672077227,196379
analytical_from_measured_cost,0.1,1e-05,16,0.39958819357307396,3.142064,2.742475806426926,196379
analytical_from_measured_cost,0.1,1e-05,17,0.4120028962796415,3.338443,2.9264401037203585,196379
analytical_from_measured_cost,0.1,1e-05,18,0.42404858119859173,3.534822,3.1107734188014082,196379
analytical_from_measured_cost,0.1,1e-05,19,0.4357820057062316,3.731201,3.2954189942937684,196379
analytical_from_measured_cost,0.1,1e-05,20,0.4472020392490985,3.92758,3.4803779607509013,196379
analytical_from_measured_cost,0.1,1e-05,21,0.4583598555261954,4.123959,3.6655991444738047,196379
analytical_from_measured_cost,0.1,1e-05,22,0.46926528372343956,4.320338,3.85107271627656,196379
analytical_from_measured_cost,0.1,1e-05,23,0.47992448085522865,4.516717,4.036792519144771,196379
analytical_from_measured_cost,0.1,1e-05,24,0.4903531908467317,4.713096,4.222742809153268,196379
analytical_from_measured_cost,0.1,1e-05,25,0.5005777441160135,4.909475,4.408897255883986,196379
analytical_from_measured_cost,0.1,1e-05,26,0.5105896143458972,5.105854,4.595264385654103,196379
analytical_from_measured_cost,0.1,1e-05,27,0.5204117843980176,5.302233,4.781821215601982,196379
analytical_from_measured_cost,0.1,1e-05,28,0.5300607264982397,5.498612,4.96855127350176,196379
analytical_from_measured_cost,0.1,1e-05,29,0.5395540784892955,5.694991,5.155436921510704,196379
analytical_from_measured_cost,0.1,1e-05,30,0.548911158008463,5.89137,5.3424588419915375,196379
analytical_from_measured_cost,0.1,1e-05,31,0.558070954176229,6.087749,5.52967804582377,196379
analytical_from_measured_cost,0.1,1e-05,32,0.5670999449927965,6.284128,5.717028055007203,196379
analytical_from_measured_cost,0.2,1e-05,1,0.2372775886258585,0.237278,4.1137414150127505e-07,237278
analytical_from_measured_cost,0.2,1e-05,2,0.2918103286013959,0.474556,0.1827456713986041,237278
analytical_from_measured_cost,0.2,1e-05,3,0.3463430685769333,0.711834,0.36549093142306666,237278
analytical_from_measured_cost,0.2,1e-05,4,0.39958819357307396,0.949112,0.549523806426926,237278
analytical_from_measured_cost,0.2,1e-05,5,0.4472020392490985,1.18639,0.7391879607509015,237278
analytical_from_measured_cost,0.2,1e-05,6,0.4903531908467317,1.423668,0.9333148091532683,237278
analytical_from_measured_cost,0.2,1e-05,7,0.5300607264982397,1.660946,1.1308852735017605,237278
analytical_from_measured_cost,0.2,1e-05,8,0.5670999449927965,1.898224,1.3311240550072034,237278
analytical_from_measured_cost,0.2,1e-05,9,0.6019498794129166,2.135502,1.5335521205870832,237278
analytical_from_measured_cost,0.2,1e-05,10,0.6349482913066513,2.37278,1.7378317086933488,237278
analytical_from_measured_cost,0.2,1e-05,11,0.6663620561692156,2.610058,1.9436959438307844,237278
analytical_from_measured_cost,0.2,1e-05,12,0.6964865609415297,2.847336,2.15084943905847,237278
analytical_from_measured_cost,0.2,1e-05,13,0.7253186934288438,3.084614,2.3592953065711564,237278
analytical_from_measured_cost,0.2,1e-05,14,0.7531138722471562,3.321892,2.568778127752844,237278
analytical_from_measured_cost,0.2,1e-05,15,0.7799786210504381,3.55917,2.779191378949562,237278
analytical_from_measured_cost,0.2,1e-05,16,0.80599297964309,3.796448,2.99045502035691,237278
analytical_from_measured_cost,0.2,1e-05,17,0.831248422087284,4.033726,3.202477577912716,237278
analytical_from_measured_cost,0.2,1e-05,18,0.8558499741581062,4.271004,3.4151540258418933,237278
analytical_from_measured_cost,0.2,1e-05,19,0.8797080478974038,4.508282,3.6285739521025966,237278
analytical_from_measured_cost,0.2,1e-05,20,0.9029248191193748,4.74556,3.8426351808806256,237278
