measurement_type,boundary_index,boundary_center_fixed,offset_micro_epsilon,epsilon_requested,epsilon_requested_fixed,delta_requested_fixed,exact_conservative_cost_epsilon,exact_conservative_cost_micro_epsilon,vbs_cost_fixed,python_reference_cost_fixed,rounding_margin_micro_epsilon,under_reporting,ok
measured_with_analytical_margin,0,10000,-0.49,0.009999510,10000,10000000,0.182881180500260,182881.180500260,182882,182882,0.819499740,0,1
measured_with_analytical_margin,0,10000,0.49,0.010000490,10001,10000000,0.182881207767993,182881.207767993,182882,182882,0.792232007,0,1
measured_with_analytical_margin,1,30851,-0.49,0.030850510,30851,10000000,0.184042433658970,184042.433658970,184043,184043,0.566341030,0,1
measured_with_analytical_margin,1,30851,0.49,0.030851490,30852,10000000,0.184042517779811,184042.517779811,184043,184043,0.482220189,0,1
measured_with_analytical_margin,2,51702,-0.49,0.051701510,51702,10000000,0.186389130973870,186389.130973870,186390,186390,0.869026130,0,1
measured_with_analytical_margin,2,51702,0.49,0.051702490,51703,10000000,0.186389271947820,186389.271947820,186390,186390,0.728052180,0,1
measured_with_analytical_margin,3,72553,-0.49,0.072552510,72553,10000000,0.189921272444961,189921.272444961,189922,189922,0.727555039,0,1
measured_with_analytical_margin,3,72553,0.49,0.072553490,72554,10000000,0.189921470272018,189921.470272018,189922,189922,0.529727982,0,1
measured_with_analytical_margin,4,93404,-0.49,0.093403510,93404,10000000,0.194638858072242,194638.858072242,194639,194639,0.141927758,0,1
measured_with_analytical_margin,4,93404,0.49,0.093404490,93405,10000000,0.194639112752407,194639.112752407,194640,194640,0.887247593,0,1
measured_with_analytical_margin,5,114255,-0.49,0.114254510,114255,10000000,0.200541887855713,200541.887855713,200542,200542,0.112144287,0,1
measured_with_analytical_margin,5,114255,0.49,0.114255490,114256,10000000,0.200542199388987,200542.199388987,200543,200543,0.800611013,0,1
measured_with_analytical_margin,6,135106,-0.49,0.135105510,135106,10000000,0.207630361795374,207630.361795374,207631,207631,0.638204626,0,1
measured_with_analytical_margin,6,135106,0.49,0.135106490,135107,10000000,0.207630730181756,207630.730181756,207631,207631,0.269818244,0,1
measured_with_analytical_margin,7,155957,-0.49,0.155956510,155957,10000000,0.215904279891226,215904.279891226,215905,215905,0.720108774,0,1
measured_with_analytical_margin,7,155957,0.49,0.155957490,155958,10000000,0.215904705130716,215904.705130716,215905,215905,0.294869284,0,1
measured_with_analytical_margin,8,176809,-0.49,0.176808510,176809,10000000,0.225364124235866,225364.124235866,225365,225365,0.875764134,0,1
measured_with_analytical_margin,8,176809,0.49,0.176809490,176810,10000000,0.225364606331190,225364.606331190,225365,225365,0.393668810,0,1
measured_with_analytical_margin,9,197660,-0.49,0.197659510,197660,10000000,0.236008987497206,236008.987497206,236009,236009,0.012502794,0,1
measured_with_analytical_margin,9,197660,0.49,0.197660490,197661,10000000,0.236009526445639,236009.526445639,236010,236010,0.473554361,0,1
measured_with_analytical_margin,10,218511,-0.49,0.218510510,218511,10000000,0.247839294914737,247839.294914737,247840,247840,0.705085263,0,1
measured_with_analytical_margin,10,218511,0.49,0.218511490,218512,10000000,0.247839890716277,247839.890716277,247840,247840,0.109283723,0,1
measured_with_analytical_margin,11,239362,-0.49,0.239361510,239362,10000000,0.260855046488457,260855.046488457,260856,260856,0.953511543,0,1
measured_with_analytical_margin,11,239362,0.49,0.239362490,239363,10000000,0.260855699143106,260855.699143106,260856,260856,0.300856894,0,1
measured_with_analytical_margin,12,260213,-0.49,0.260212510,260213,10000000,0.275056242218369,275056.242218369,275057,275057,0.757781631,0,1
measured_with_analytical_margin,12,260213,0.49,0.260213490,260214,10000000,0.275056951726125,275056.951726125,275057,275057,0.048273875,0,1
measured_with_analytical_margin,13,281064,-0.49,0.281063510,281064,10000000,0.290442882104470,290442.882104470,290443,290443,0.117895530,0,1
measured_with_analytical_margin,13,281064,0.49,0.281064490,281065,10000000,0.290443648465335,290443.648465335,290444,290444,0.351534665,0,1
measured_with_analytical_margin,14,301915,-0.49,0.301914510,301915,10000000,0.307014966146761,307014.966146761,307015,307015,0.033853239,0,1
measured_with_analytical_margin,14,301915,0.49,0.301915490,301916,10000000,0.307015789360734,307015.789360734,307016,307016,0.210639266,0,1
measured_with_analytical_margin,15,322766,-0.49,0.322765510,322766,10000000,0.324772494345243,324772.494345243,324773,324773,0.505654757,0,1
measured_with_analytical_margin,15,322766,0.49,0.322766490,322767,10000000,0.324773374412324,324773.374412324,324774,324774,0.625587676,0,1
measured_with_analytical_margin,16,343617,-0.49,0.343616510,343617,10000000,0.343715466699915,343715.466699915,343716,343716,0.533300085,0,1
measured_with_analytical_margin,16,343617,0.49,0.343617490,343618,10000000,0.343716403620104,343716.403620104,343717,343717,0.596379896,0,1
measured_with_analytical_margin,17,364468,-0.49,0.364467510,364468,10000000,0.364468000000000,364468.000000000,364468,364468,0.000000000,0,1
measured_with_analytical_margin,17,364468,0.49,0.364468490,364469,10000000,0.364469000000000,364469.000000000,364469,364469,0.000000000,0,1
measured_with_analytical_margin,18,385319,-0.49,0.385318510,385319,10000000,0.385319000000000,385319.000000000,385319,385319,0.000000000,0,1
measured_with_analytical_margin,18,385319,0.49,0.385319490,385320,10000000,0.385320000000000,385320.000000000,385320,385320,0.000000000,0,1
measured_with_analytical_margin,19,406170,-0.49,0.406169510,406170,10000000,0.406170000000000,406170.000000000,406170,406170,0.000000000,0,1
measured_with_analytical_margin,19,406170,0.49,0.406170490,406171,10000000,0.406171000000000,406171.000000000,406171,406171,0.000000000,0,1
measured_with_analytical_margin,20,427021,-0.49,0.427020510,427021,10000000,0.427021000000000,427021.000000000,427021,427021,0.000000000,0,1
measured_with_analytical_margin,20,427021,0.49,0.427021490,427022,10000000,0.427022000000000,427022.000000000,427022,427022,0.000000000,0,1
measured_with_analytical_margin,21,447872,-0.49,0.447871510,447872,10000000,0.447872000000000,447872.000000000,447872,447872,0.000000000,0,1
measured_with_analytical_margin,21,447872,0.49,0.447872490,447873,10000000,0.447873000000000,447873.000000000,447873,447873,0.000000000,0,1
measured_with_analytical_margin,22,468723,-0.49,0.468722510,468723,10000000,0.468940724179697,468940.724179697,468941,468941,0.275820303,0,1
measured_with_analytical_margin,22,468723,0.49,0.468723490,468724,10000000,0.468941742616896,468941.742616896,468942,468942,0.257383104,0,1
measured_with_analytical_margin,23,489574,-0.49,0.489573510,489574,10000000,0.490028756636033,490028.756636033,490029,490029,0.243363967,0,1
measured_with_analytical_margin,23,489574,0.49,0.489574490,489575,10000000,0.490029757804992,490029.757804992,490030,490030,0.242195008,0,1
measured_with_analytical_margin,24,510426,-0.49,0.510425510,510426,10000000,0.511124950524841,511124.950524841,511125,511125,0.049475159,0,1
measured_with_analytical_margin,24,510426,0.49,0.510426490,510427,10000000,0.511125972589617,511125.972589617,511126,511126,0.027410383,0,1
measured_with_analytical_margin,25,531277,-0.49,0.531276510,531277,10000000,0.532222572229212,532222.572229212,532223,532223,0.427770788,0,1
measured_with_analytical_margin,25,531277,0.49,0.531277490,531278,10000000,0.532223590776711,532223.590776711,532224,532224,0.409223289,0,1
measured_with_analytical_margin,26,552128,-0.49,0.552127510,552128,10000000,0.553349380044796,553349.380044796,553350,553350,0.619955204,0,1
measured_with_analytical_margin,26,552128,0.49,0.552128490,552129,10000000,0.553350391521700,553350.391521700,553351,553351,0.608478300,0,1
measured_with_analytical_margin,27,572979,-0.49,0.572978510,572979,10000000,0.574530185178799,574530.185178799,574531,574531,0.814821201,0,1
measured_with_analytical_margin,27,572979,0.49,0.572979490,572980,10000000,0.574531210442836,574531.210442836,574532,574532,0.789557164,0,1
measured_with_analytical_margin,28,593830,-0.49,0.593829510,593830,10000000,0.595673560579260,595673.560579260,595674,595674,0.439420740,0,1
measured_with_analytical_margin,28,593830,0.49,0.593830490,593831,10000000,0.595674572554393,595674.572554393,595675,595675,0.427445607,0,1
measured_with_analytical_margin,29,614681,-0.49,0.614680510,614681,10000000,0.616864656551208,616864.656551208,616865,616865,0.343448792,0,1
measured_with_analytical_margin,29,614681,0.49,0.614681490,614682,10000000,0.616865677871825,616865.677871825,616866,616866,0.322128175,0,1
measured_with_analytical_margin,30,635532,-0.49,0.635531510,635532,10000000,0.638105972867366,638105.972867366,638106,638106,0.027132634,0,1
measured_with_analytical_margin,30,635532,0.49,0.635532490,635533,10000000,0.638107001756808,638107.001756808,638108,638108,0.998243192,0,1
measured_with_analytical_margin,31,656383,-0.49,0.656382510,656383,10000000,0.659336516724569,659336.516724569,659337,659337,0.483275431,0,1
measured_with_analytical_margin,31,656383,0.49,0.656383490,656384,10000000,0.659337523441808,659337.523441808,659338,659338,0.476558192,0,1
measured_with_analytical_margin,32,677234,-0.49,0.677233510,677234,10000000,0.680565688660893,680565.688660893,680566,680566,0.311339107,0,1
