measurement_type,epsilon_requested,delta_requested,run,is_warmup,rows,true_result_fixed,noisy_result_fixed,absolute_error_fixed,relative_error,actual_privacy_cost_fixed,python_reference_cost_fixed,rounding_gap_fixed,host_wall_us,ok
measured,0.05,1e-05,0,1,1000,49053000,62055349,13002349,0.2650673557172854,186154,186154,0,69138,1
measured,0.05,1e-05,1,0,1000,49053000,38652371,10400629,0.2120283978553809,186154,186154,0,79950,1
measured,0.05,1e-05,2,0,1000,49053000,50100314,1047314,0.021350661529366197,186154,186154,0,71528,1
measured,0.05,1e-05,3,0,1000,49053000,51823356,2770356,0.05647679041037246,186154,186154,0,74313,1
measured,0.05,1e-05,4,0,1000,49053000,51472135,2419135,0.049316759423480724,186154,186154,0,63483,1
measured,0.05,1e-05,5,0,1000,49053000,60944637,11891637,0.2424242553972234,186154,186154,0,79481,1
measured,0.05,1e-05,6,0,1000,49053000,57610144,8557144,0.17444690436874402,186154,186154,0,70496,1
measured,0.05,1e-05,7,0,1000,49053000,41684900,7368100,0.15020691904674535,186154,186154,0,87751,1
measured,0.05,1e-05,8,0,1000,49053000,52589876,3536876,0.07210315373167799,186154,186154,0,74173,1
measured,0.05,1e-05,9,0,1000,49053000,46318608,2734392,0.055743624243165556,186154,186154,0,74968,1
measured,0.05,1e-05,10,0,1000,49053000,50913600,1860600,0.03793040181028683,186154,186154,0,76375,1
measured,0.05,1e-05,11,0,1000,49053000,53365331,4312331,0.08791166697245836,186154,186154,0,88241,1
measured,0.05,1e-05,12,0,1000,49053000,44012869,5040131,0.10274867999918455,186154,186154,0,80907,1
measured,0.05,1e-05,13,0,1000,49053000,45415696,3637304,0.07415049028601717,186154,186154,0,82011,1
measured,0.05,1e-05,14,0,1000,49053000,52213565,3160565,0.06443163517012211,186154,186154,0,74938,1
measured,0.05,1e-05,15,0,1000,49053000,55832919,6779919,0.1382161947281512,186154,186154,0,72351,1
measured,0.05,1e-05,16,0,1000,49053000,59595509,10542509,0.21492077956496036,186154,186154,0,76350,1
measured,0.05,1e-05,17,0,1000,49053000,47381078,1671922,0.034083990785476935,186154,186154,0,75882,1
measured,0.05,1e-05,18,0,1000,49053000,59420366,10367366,0.21135029457933255,186154,186154,0,65621,1
measured,0.05,1e-05,19,0,1000,49053000,55514906,6461906,0.1317331457810939,186154,186154,0,77350,1
measured,0.05,1e-05,20,0,1000,49053000,30106473,18946527,0.3862460399975537,186154,186154,0,84225,1
measured,0.05,1e-05,21,0,1000,49053000,29621847,19431153,0.3961256803865207,186154,186154,0,60492,1
measured,0.05,1e-05,22,0,1000,49053000,37502038,11550962,0.23547921635781704,186154,186154,0,77448,1
