measurement_type,timestamp_utc,config_hash,variant,run,is_warmup,total_latency_ms,throughput_req_s,total_gas,access_latency_ms,budget_latency_ms,tee_latency_ms,proof_latency_ms,settlement_latency_ms,audit_latency_ms,access_gas,budget_gas,proof_gas,settlement_gas,audit_gas,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status,success
measured,2026-07-19T10:48:53.976Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,0,1,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1456431104,1,,1
measured,2026-07-19T10:48:54.368Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,0,1,6.87220000103116,145.51380923866475,433332,5.4050999991595745,0,0,0,0,1.4752999991178513,407772,0,0,0,25560,31,32.13470869988122,1257787392,1456431104,5,,1
measured,2026-07-19T10:48:55.787Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,0,1,378.95460000260175,2.638838531035471,1103409,7.002100000157952,0,131.716,238.71380000002682,0,1.5421000011265278,407736,0,670125,0,25548,125,39.97565354038362,1257787392,1490771968,12,,1
measured,2026-07-19T10:48:57.175Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,0,1,148.52130000132323,6.733040984633791,685518,5.4101000018417835,4.062099998816848,137.953,0,0,1.111600000411272,407748,252222,0,0,25548,187,44.1293702337271,1257787392,1544155136,7,,1
model_calibrated_from_measured_components,2026-07-19T10:48:58.629Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_tee,0,1,254.2465000015646,3.933190820695058,1370278,5.5130999982357025,3.1133000012487173,0.004,239.34340000152588,6.294900000095367,0,376855,221765,283383,488275,0,125,23.76950632978269,1257787392,1479114752,12,,1
measured,2026-07-19T10:49:00.050Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,full_trustcircuit,0,1,360.62139999969304,2.7729912867091393,1370254,4.48170000128448,3.076299998909235,126.346,221.12080000154674,5.614900000393391,0,376855,221765,283383,488251,0,109,22.3613595703266,1257787392,1498034176,11,,1
measured,2026-07-19T10:49:00.438Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,baseline_minimal,0,0,0.002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787392,1498034176,1,,1
measured,2026-07-19T10:49:00.838Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,access_only,0,0,6.626400001347065,150.91150546250037,433332,5.597500000149012,0,0,0,0,1.0372000001370907,407772,0,0,0,25560,31,31.639161695677288,1257787392,1497964544,5,,1
measured,2026-07-19T10:49:02.284Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_budget,0,0,385.13509999775886,2.5964914649581905,1103469,5.578399999067187,0,137.909,240.05539999902248,0,1.6077999994158745,407748,0,670173,0,25548,94,37.85082987833498,1257787392,1505824768,11,,1
measured,2026-07-19T10:49:03.681Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,no_zk,0,0,133.83610000038146,7.4718256135463434,685590,5.348299998790026,3.4805999994277954,123.469,0,0,1.5591000001877546,407772,252258,0,0,25560,78,50.320299640224384,1257787392,1504727040,7,,1
