measurement_type,timestamp_utc,config_hash,index,request_id,prove_time_ms,verify_time_ms,proof_bundle_bytes,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status,verified
measured,2026-07-19T10:42:22.375Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,0,phase8-concurrency-0-1784457714208582800,259.62380000017583,12.277800001204014,1403,1593,100,1078153216,1493692416,29,,1
measured,2026-07-19T10:42:23.010Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,phase8-concurrency-1-1784457714367270400,239.86139999888837,13.525200000032783,1405,1078,100,1217523712,1633382400,29,,1
measured,2026-07-19T10:42:23.634Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,2,phase8-concurrency-2-1784457714503993200,227.66330000013113,17.39750000089407,1403,1297,100,1228980224,3630010368,29,,1
measured,2026-07-19T10:42:24.313Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,3,phase8-concurrency-3-1784457714643103900,258.2915000002831,13.975700000301003,1401,1313,100,1228980224,3630010368,27,,1
measured,2026-07-19T10:42:24.912Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,4,phase8-concurrency-4-1784457714791864500,202.33019999973476,11.751599999144673,1401,1093,100,1228980224,3672477696,26,,1
measured,2026-07-19T10:42:25.557Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,5,phase8-concurrency-5-1784457714913090200,249.50560000166297,15.277799999341369,1402,1579,100,1228980224,3672543232,27,,1
measured,2026-07-19T10:42:26.151Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,6,phase8-concurrency-6-1784457715059878300,203.77400000020862,12.436599999666214,1402,1156,100,1228980224,3723087872,27,,1
measured,2026-07-19T10:42:26.782Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,7,phase8-concurrency-7-1784457715202138800,238.87609999999404,13.38150000013411,1409,1562,100,1228980224,3723149312,31,,1
measured,2026-07-19T10:42:27.389Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,8,phase8-concurrency-8-1784457715338096300,214.03570000082254,12.756400000303984,1407,1281,100,1228980224,3652759552,29,,1
measured,2026-07-19T10:42:28.035Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,9,phase8-concurrency-9-1784457715485456200,248.7875999994576,12.957599999383092,1404,1485,100,1228980224,3652820992,28,,1
measured,2026-07-19T10:42:28.672Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,10,phase8-concurrency-10-1784457715625795000,230.47120000049472,12.083799999207258,1404,1594,100,1228980224,3649212416,30,,1
measured,2026-07-19T10:42:29.325Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,11,phase8-concurrency-11-1784457715758521300,241.50809999927878,12.449200000613928,1409,1515,100,1228980224,3649212416,27,,1
measured,2026-07-19T10:42:29.920Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,12,phase8-concurrency-12-1784457715902626900,203.6123000010848,11.642100000753999,1399,1343,100,1228980224,3763716096,27,,1
measured,2026-07-19T10:42:30.539Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,13,phase8-concurrency-13-1784457716033281700,223.97680000029504,11.925599999725819,1405,1188,100,1228980224,3763716096,26,,1
measured,2026-07-19T10:42:31.158Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,14,phase8-concurrency-14-1784457716159469400,229.08859999850392,12.12609999999404,1403,1484,100,1228980224,3685810176,27,,1
measured,2026-07-19T10:42:31.794Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,15,phase8-concurrency-15-1784457716310180800,244.00950000062585,11.813799999654293,1402,1359,100,1228980224,3685871616,27,,1
measured,2026-07-19T10:42:32.404Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,16,phase8-concurrency-16-1784457716453998400,205.75999999977648,13.207999998703599,1408,1234,100,1228980224,3644772352,25,,1
measured,2026-07-19T10:42:33.023Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,17,phase8-concurrency-17-1784457716592245500,225.53009999915957,12.576500000432134,1402,1125,100,1228980224,3644772352,26,,1
measured,2026-07-19T10:42:33.638Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,18,phase8-concurrency-18-1784457716732239800,206.50239999964833,15.069399999454618,1408,1531,100,1228980224,3657113600,26,,1
measured,2026-07-19T10:42:34.286Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,19,phase8-concurrency-19-1784457716871939000,248.45749999955297,13.185900000855327,1401,1499,100,1228980224,3657113600,29,,1
measured,2026-07-19T10:42:34.893Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,20,phase8-concurrency-20-1784457717027296000,189.68370000086725,14.491100000217557,1402,797,100,1228980224,3666165760,27,,1
