measurement_type,timestamp_utc,config_hash,concurrency,run,is_warmup,capacity,accepted,reverted,settlement_batch_latency_ms,settlement_mean_latency_ms,throughput_req_s,total_gas,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,failure_status
measured_local_hardhat,2026-07-19T10:44:46.520Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,0,0,1,1,0,4.1815000008791685,4.1815000008791685,239.14863082380677,179664,1000000,1000000,0,0,0,16,0.5056626633372356,1257787392,1512194048,2,
measured_local_hardhat,2026-07-19T10:44:46.923Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,1,0,1,1,0,3.4485000018030405,3.4485000018030405,289.9811510735544,179640,1000000,1000000,0,0,0,0,0,1257787392,1511538688,1,
measured_local_hardhat,2026-07-19T10:44:47.315Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,2,0,1,1,0,3.1223999988287687,3.1223999988287687,320.26646181626506,179688,1000000,1000000,0,0,0,16,0.5083431824842267,1257787392,1511628800,1,
measured_local_hardhat,2026-07-19T10:44:47.706Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,3,0,1,1,0,3.253200000151992,3.253200000151992,307.38964710232364,179688,1000000,1000000,0,0,0,15,0.476424483800899,1257787392,1511759872,1,
measured_local_hardhat,2026-07-19T10:44:48.095Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,4,0,1,1,0,3.3739999998360872,3.3739999998360872,296.3841138258984,179688,1000000,1000000,0,0,0,47,1.5299447292872284,1257787392,1511763968,1,
measured_local_hardhat,2026-07-19T10:44:48.482Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,5,0,1,1,0,2.6851000003516674,2.6851000003516674,372.4256079360285,179688,1000000,1000000,0,0,0,32,1.0464503618839807,1257787392,1511763968,1,
measured_local_hardhat,2026-07-19T10:44:49.062Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,6,0,1,1,0,2.809000000357628,2.809000000357628,355.998575960372,179688,1000000,1000000,0,0,0,0,0,1257787392,1511763968,1,
measured_local_hardhat,2026-07-19T10:44:49.525Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,7,0,1,1,0,3.4457999989390373,3.4457999989390373,290.20836969873477,179688,1000000,1000000,0,0,0,0,0,1257787392,1511305216,1,
measured_local_hardhat,2026-07-19T10:44:49.978Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,8,0,1,1,0,3.17850000038743,3.17850000038743,314.6138115079783,179688,1000000,1000000,0,0,0,16,0.4705964292109951,1257787392,1474748416,1,
measured_local_hardhat,2026-07-19T10:44:50.436Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,9,0,1,1,0,2.9845000002533197,2.9845000002533197,335.0644998877941,179688,1000000,1000000,0,0,0,0,0,1257787392,1475350528,1,
measured_local_hardhat,2026-07-19T10:44:50.837Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,10,0,1,1,0,3.001299999654293,3.001299999654293,333.1889514927484,179664,1000000,1000000,0,0,0,16,0.5147904442512197,1257787392,1484062720,1,
measured_local_hardhat,2026-07-19T10:44:51.225Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,11,0,1,1,0,2.783099999651313,2.783099999651313,359.3115590978719,179688,1000000,1000000,0,0,0,0,0,1257787392,1484914688,1,
measured_local_hardhat,2026-07-19T10:44:51.604Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,12,0,1,1,0,2.740999998524785,2.740999998524785,364.83035408179614,179688,1000000,1000000,0,0,0,15,0.5063801194379925,1257787392,1485180928,1,
measured_local_hardhat,2026-07-19T10:44:51.987Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,13,0,1,1,0,2.5310999993234873,2.5310999993234873,395.0851409534511,179688,1000000,1000000,0,0,0,0,0,1257787392,1485316096,1,
measured_local_hardhat,2026-07-19T10:44:52.368Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,14,0,1,1,0,2.717000000178814,2.717000000178814,368.0529996077243,179688,1000000,1000000,0,0,0,32,1.0579939376920682,1257787392,1485848576,1,
measured_local_hardhat,2026-07-19T10:44:52.748Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,15,0,1,1,0,2.5436000004410744,2.5436000004410744,393.1435759657943,179688,1000000,1000000,0,0,0,0,0,1257787392,1486110720,1,
measured_local_hardhat,2026-07-19T10:44:53.124Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,16,0,1,1,0,2.446399999782443,2.446399999782443,408.7638980088822,179664,1000000,1000000,0,0,0,0,0,1257787392,1486110720,1,
measured_local_hardhat,2026-07-19T10:44:53.514Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,17,0,1,1,0,2.383500000461936,2.383500000461936,419.55108026272046,179688,1000000,1000000,0,0,0,16,0.5199867299391113,1257787392,1485656064,1,
measured_local_hardhat,2026-07-19T10:44:53.898Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,18,0,1,1,0,2.5712000001221895,2.5712000001221895,388.9234598446164,179688,1000000,1000000,0,0,0,0,0,1257787392,1486049280,1,
measured_local_hardhat,2026-07-19T10:44:54.289Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,19,0,1,1,0,2.546500001102686,2.546500001102686,392.6958568886628,179664,1000000,1000000,0,0,0,0,0,1257787392,1486446592,1,
measured_local_hardhat,2026-07-19T10:44:54.720Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,1,20,0,1,1,0,3.2061000000685453,3.2061000000685453,311.90543026687266,179688,1000000,1000000,0,0,0,0,0,1257787392,1486979072,1,
