measurement_type,timestamp_utc,config_hash,scheme,curve,circuit,n_rules,run,is_warmup,constraints,witness_size_bytes,public_inputs,proof_size_bytes,prove_time_ms,verify_time_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,resource_sample_count,throughput_proofs_s,verified,failure_status
locally_measured,2026-07-19T10:54:01.503Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,0,1,2928,94092,11,889,447.4587,13.6177,0,2375,100,426168320,2253352960,34,2.1688379626456697,1,
locally_measured,2026-07-19T10:54:02.007Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,1,1,2928,94092,11,893,110.6602,12.3638,0,1141,100,575262720,717778944,20,8.128495252958773,1,
locally_measured,2026-07-19T10:54:02.536Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,0,0,2928,94092,11,889,124.9376,15.9486,0,828,100,647065600,717778944,23,7.097927263280576,1,
locally_measured,2026-07-19T10:54:03.043Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,1,0,2928,94092,11,890,113.8176,12.7819,0,984,100,647065600,764862464,20,7.898925351205968,1,
locally_measured,2026-07-19T10:54:03.563Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,2,0,2928,94092,11,892,126.8039,11.8356,0,907,100,691089408,764862464,21,7.212951575849596,1,
locally_measured,2026-07-19T10:54:04.063Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,3,0,2928,94092,11,892,109.3718,11.2642,0,953,100,691089408,763338752,20,8.289399515899069,1,
locally_measured,2026-07-19T10:54:04.621Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,4,0,2928,94092,11,891,153.5121,13.0633,0,1296,100,691089408,763338752,24,6.003287400180339,1,
locally_measured,2026-07-19T10:54:05.142Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,5,0,2928,94092,11,893,114.4474,11.1077,0,844,100,691089408,783613952,21,7.964630668128973,1,
locally_measured,2026-07-19T10:54:05.668Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,6,0,2928,94092,11,891,122.9773,10.6961,0,1031,100,767496192,815464448,23,7.480919913759956,1,
locally_measured,2026-07-19T10:54:06.190Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,7,0,2928,94092,11,890,122.6196,10.9939,0,1001,100,767496192,824471552,21,7.484273669951015,1,
locally_measured,2026-07-19T10:54:06.725Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,8,0,2928,94092,11,890,141.5241,12.3235,0,937,100,767496192,824471552,24,6.499938900574334,1,
locally_measured,2026-07-19T10:54:07.242Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,9,0,2928,94092,11,890,117.0811,10.7028,0,1016,100,767496192,759709696,21,7.825712002842298,1,
locally_measured,2026-07-19T10:54:07.756Z,048d2f8811e5c5e9eca57526f68f0ab67be1b8cd5db0c79a5fe66b2fd7bbc2ee,groth16,bn128,compliance_1,1,10,0,2928,94092,11,888,111.8737,10.3682,0,1110,100,767496192,854110208,19,8.180501121137679,1,
